订单号,聚类种类,食品区,饮料区,日用品区,电器区,礼品区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,产生时刻
1,类别1,768,630,386,82,203,70,100,95,70,71,60,81,72,65,84,51,63,69,72,69,65,60,56,64,61,46,41,27,46,42,26,42,45,34,37,6,10,3,11,5,10,10,9,7,11,15,21,19,21,15,31,19,20,19,23,33
2,类别1,764,611,441,85,207,78,64,68,74,94,73,75,75,89,74,62,60,57,56,64,64,60,63,66,59,41,39,41,48,41,44,41,47,54,45,12,11,7,8,6,3,10,5,10,13,16,20,26,17,24,19,31,20,16,18,45
18,类别1,787,604,376,79,194,76,86,78,63,82,81,77,82,85,77,54,56,62,55,68,70,52,68,51,68,44,32,35,41,33,38,37,36,47,33,7,6,6,11,8,4,11,11,9,6,25,15,11,15,20,28,17,24,23,16,653
52,类别1,762,566,370,111,216,73,64,88,75,62,96,72,79,79,74,54,59,71,56,51,63,45,54,54,59,41,38,46,36,36,40,30,39,31,33,9,11,11,9,16,8,12,13,13,9,26,19,14,21,30,27,15,25,19,20,1860
53,类别1,763,584,356,103,217,76,71,76,87,81,70,78,78,69,77,58,65,54,70,34,65,65,52,62,59,35,34,34,41,29,42,32,31,40,38,5,9,14,13,6,14,13,8,9,12,16,25,20,34,18,23,22,18,21,20,1863
65,类别1,780,607,397,86,218,63,75,75,85,81,78,91,80,79,73,54,72,61,53,72,62,56,64,58,55,47,38,46,44,29,39,30,44,35,45,11,10,7,7,9,6,7,12,12,5,17,16,20,27,32,27,21,21,15,22,2278
68,类别1,737,549,428,102,199,59,79,88,67,69,75,78,70,75,77,54,59,48,54,56,61,43,55,57,62,40,48,44,50,56,35,25,43,39,48,13,10,8,14,13,7,6,9,8,14,16,30,18,14,21,17,25,18,25,15,2317
73,类别1,755,614,428,110,179,76,71,79,73,65,83,73,85,82,68,53,67,66,72,65,61,56,54,58,62,40,42,36,44,38,39,45,44,49,51,9,12,13,11,8,15,10,8,9,15,28,11,16,21,11,13,24,15,18,22,2465
74,类别1,731,604,401,93,214,89,93,60,61,58,80,68,68,73,81,60,73,52,62,68,48,47,66,58,70,42,47,35,32,38,43,42,38,50,34,9,17,11,7,7,7,7,11,7,10,17,18,19,21,25,31,19,25,21,18,2495
75,类别1,751,583,359,86,200,77,55,77,81,58,91,82,66,86,78,56,70,55,58,59,60,56,58,61,50,46,28,31,39,29,34,29,41,38,44,12,7,4,15,8,6,4,11,13,6,20,13,21,30,18,23,17,18,17,23,2500
79,类别1,750,582,412,94,184,70,85,76,70,77,83,85,72,69,63,56,60,56,54,54,62,65,65,64,46,44,43,41,45,27,39,44,42,38,49,6,9,5,12,9,14,7,7,9,16,17,24,19,12,23,22,14,15,21,17,2629
82,类别1,769,577,396,86,193,61,73,77,83,79,78,80,81,76,81,51,65,53,55,52,44,57,64,72,64,39,43,42,32,38,43,33,36,43,47,11,8,9,11,10,7,5,7,7,11,16,18,19,21,19,17,26,24,16,17,2708
85,类别1,774,594,447,99,194,70,70,74,85,81,77,81,90,77,69,61,63,63,53,46,66,66,67,50,59,38,44,40,59,45,35,42,58,43,43,8,13,16,7,6,10,12,10,9,8,21,23,16,18,12,18,22,25,24,15,2775
88,类别1,772,607,446,93,211,67,78,81,93,69,67,83,78,71,85,55,66,62,53,54,63,64,62,72,56,42,50,46,55,40,42,40,40,52,39,2,14,7,7,12,13,9,9,11,9,17,15,23,17,27,31,19,20,25,17,2846
90,类别1,747,658,391,90,186,97,73,75,83,66,67,79,68,77,62,60,49,69,81,74,65,59,60,68,73,44,45,49,33,24,33,42,37,47,37,7,4,8,13,10,10,10,8,15,5,17,18,20,15,19,18,16,26,14,23,2878
93,类别1,782,593,392,125,218,85,81,74,87,79,68,75,81,78,74,58,49,65,63,62,61,52,50,67,66,41,35,37,38,41,35,44,47,28,46,13,12,16,11,11,11,16,11,11,13,34,16,20,26,15,24,21,23,20,19,2985
101,类别1,761,627,377,101,198,84,60,71,89,84,74,68,74,78,79,59,60,55,48,61,72,71,59,62,80,30,39,39,43,35,50,26,34,42,39,10,8,11,10,12,8,9,7,17,9,23,15,23,18,22,22,18,28,15,14,3182
104,类别1,769,585,383,107,198,96,79,77,59,84,72,68,90,69,75,64,58,52,68,64,45,56,71,53,54,40,45,45,40,39,40,30,31,36,37,7,11,13,12,10,11,9,7,16,11,18,23,17,20,27,18,25,18,14,18,3366
128,类别1,747,618,375,99,211,78,72,75,85,56,82,71,80,74,74,58,59,67,56,61,57,58,58,64,80,39,39,36,52,42,29,36,41,26,35,9,9,10,12,12,12,8,3,8,16,17,29,20,25,17,21,14,15,24,29,3931
133,类别1,748,602,411,101,198,66,82,58,77,78,79,76,68,79,85,60,64,76,51,46,61,54,57,74,59,41,40,36,38,50,43,46,33,40,44,12,17,8,6,10,8,9,10,8,13,18,24,14,21,18,19,21,25,18,20,4028
135,类别1,743,621,406,83,192,83,64,66,82,65,75,68,82,72,86,53,54,69,46,64,68,67,52,76,72,42,45,41,33,46,34,48,47,28,42,11,13,8,6,13,5,10,7,4,6,18,20,19,14,21,25,20,18,21,16,4117
149,类别1,747,626,369,120,211,73,76,87,80,69,72,66,85,72,67,76,64,53,73,71,53,58,59,56,63,25,32,39,46,33,45,36,32,34,47,13,7,13,17,8,9,10,7,18,18,25,20,20,22,19,20,25,27,19,14,4400
156,类别1,743,642,416,100,203,92,77,61,74,74,61,68,81,83,72,64,67,64,62,59,65,73,63,64,61,37,36,45,43,47,44,38,41,42,43,7,9,11,10,13,11,11,14,9,5,23,18,25,16,22,27,10,14,21,27,4683
157,类别1,752,590,425,99,208,68,95,73,72,61,74,70,59,100,80,70,57,65,66,60,51,43,54,74,50,50,43,43,38,45,47,34,46,42,37,11,7,13,8,8,6,11,12,10,13,22,22,21,20,22,23,22,17,19,20,4691
160,类别1,786,602,381,105,201,64,82,63,82,83,86,77,82,91,76,59,66,58,58,47,66,79,49,52,68,40,44,35,41,45,35,40,27,42,32,10,12,7,8,10,14,8,13,10,13,14,16,19,19,20,25,20,24,24,20,4836
174,类别1,788,605,429,102,196,80,79,79,68,69,78,96,84,84,71,51,69,50,60,67,61,64,65,60,58,46,49,40,47,48,38,41,47,33,40,12,10,10,9,9,7,9,13,11,12,20,23,18,22,26,17,16,23,19,12,5305
176,类别1,772,586,381,97,199,89,82,64,92,70,70,68,81,75,81,62,69,55,56,62,64,51,52,50,65,42,29,37,33,39,44,32,36,40,49,7,6,11,12,9,10,11,9,10,12,21,19,17,25,16,24,18,16,22,21,5326
179,类别1,789,601,424,86,224,79,81,88,69,83,72,77,79,78,83,67,62,59,49,64,67,58,52,60,63,53,40,43,35,40,43,44,54,35,37,11,8,12,5,5,5,11,7,14,8,19,30,25,27,21,15,19,20,25,23,5403
182,类别1,768,593,417,98,183,74,90,89,87,59,77,83,70,75,64,63,45,68,63,52,68,46,71,55,62,42,50,35,56,35,38,33,41,47,40,13,8,12,10,8,13,8,13,2,11,13,15,15,22,21,16,17,19,24,21,5506
191,类别1,742,618,412,108,187,75,77,82,79,69,79,68,78,68,67,66,66,65,62,58,52,57,51,68,73,39,26,52,31,46,48,36,33,56,45,11,12,9,6,16,11,14,14,9,6,23,18,19,17,18,23,17,11,19,22,5867
192,类别1,785,604,431,91,193,74,71,88,81,81,68,74,83,82,83,81,49,54,61,60,59,67,57,50,66,43,43,48,38,49,48,39,50,34,39,6,6,8,14,9,8,4,9,14,13,18,20,16,17,17,22,15,20,24,24,5945
200,类别1,771,599,389,106,233,71,65,81,77,78,72,81,84,87,75,57,68,47,78,57,52,60,56,68,56,40,35,36,41,41,39,42,39,40,36,14,7,11,12,8,9,13,13,12,7,22,21,29,19,27,25,19,20,23,28,6079
201,类别1,771,610,439,106,194,85,74,85,81,70,72,82,85,74,63,59,56,69,58,58,60,52,72,66,60,45,46,45,36,44,50,38,45,42,48,10,12,10,14,15,6,6,12,10,11,25,25,15,15,25,17,17,17,24,14,6128
202,类别1,770,618,393,103,195,80,77,68,77,80,76,90,77,86,59,53,61,60,61,60,58,70,62,66,67,42,38,27,34,47,51,32,29,40,53,11,10,6,13,11,13,7,12,11,9,18,21,19,17,19,18,11,22,23,27,6150
216,类别1,775,613,372,83,187,78,66,78,71,78,84,80,78,76,86,58,68,60,46,68,71,68,51,64,59,35,41,39,40,39,36,33,38,30,41,9,4,6,9,9,9,10,9,6,12,24,27,19,22,13,19,21,20,10,12,6593
217,类别1,756,606,409,81,202,63,66,100,75,68,79,79,82,70,74,64,65,59,50,70,69,60,55,60,54,44,50,33,43,42,44,44,38,38,33,11,9,7,9,7,4,9,9,8,8,31,23,15,13,20,23,17,21,16,23,6691
219,类别1,740,600,416,105,213,74,72,76,59,72,68,74,82,77,86,57,62,51,68,54,52,59,73,68,56,39,40,47,39,46,34,46,37,55,33,8,10,14,14,10,14,2,10,15,8,17,18,19,20,25,24,28,17,24,21,6720
223,类别1,773,607,407,92,208,82,84,58,66,90,78,74,78,82,81,53,51,66,65,69,46,68,50,72,67,39,46,40,40,39,42,37,38,44,42,9,4,6,14,10,5,13,7,11,13,24,14,26,25,19,21,21,15,23,20,6860
