订单号,聚类种类,食品区,饮料区,日用品区,电器区,礼品区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,产生时刻
3,类别2,834,630,444,87,189,77,80,81,100,75,100,85,78,76,82,59,67,56,67,53,77,59,73,57,62,46,49,43,52,45,37,46,44,46,36,8,3,12,10,5,6,11,11,12,9,18,28,26,23,14,17,17,16,15,15,85
5,类别2,815,606,391,93,208,87,85,70,85,73,78,84,77,92,84,63,69,55,65,53,56,61,59,58,67,34,40,34,44,42,36,59,34,36,32,9,11,9,6,11,5,15,8,5,14,27,26,19,22,24,13,16,18,20,23,167
7,类别2,825,606,392,104,182,74,89,66,90,78,87,94,90,78,79,57,66,60,55,58,58,58,79,59,56,36,42,45,32,48,35,42,37,37,38,20,6,13,4,11,8,12,6,8,16,17,20,14,19,18,11,18,30,19,16,242
8,类别2,853,644,421,100,212,81,82,80,95,73,84,85,92,85,96,64,64,61,59,64,62,48,69,83,70,41,41,45,39,42,33,46,42,51,41,6,17,8,13,10,10,10,5,13,8,23,20,27,24,21,28,21,18,12,18,247
9,类别2,844,605,397,101,168,90,87,86,95,86,81,75,62,93,89,67,72,67,49,66,53,42,78,62,49,40,47,52,45,22,41,32,35,37,46,7,11,7,14,9,9,6,12,12,14,26,16,12,16,17,14,17,19,12,19,315
16,类别2,823,616,403,105,180,74,83,81,88,90,77,82,83,81,84,54,62,57,58,51,54,75,64,67,74,42,36,40,36,47,45,33,39,37,48,6,15,9,16,13,7,11,6,14,8,10,16,21,17,24,13,18,23,18,20,532
21,类别2,838,600,429,107,190,80,79,99,99,84,75,67,89,83,83,75,59,66,52,58,53,66,56,58,57,52,34,42,33,42,48,38,45,49,46,7,12,6,14,9,5,17,9,12,16,17,26,21,15,10,15,16,22,28,20,818
29,类别2,817,607,402,90,213,89,74,83,71,78,97,90,62,91,82,53,58,45,67,61,78,61,58,69,57,48,31,38,41,37,41,37,31,50,48,9,9,10,12,6,11,6,7,9,11,24,19,20,16,23,20,18,23,31,19,1069
32,类别2,847,607,368,93,195,87,94,95,79,59,89,93,81,83,87,58,49,55,58,52,65,70,79,57,64,43,37,28,35,31,39,40,34,41,40,7,8,12,8,11,5,14,9,8,11,21,17,22,19,21,15,19,21,20,20,1127
37,类别2,857,566,401,100,221,80,90,85,90,87,80,81,95,89,80,64,61,45,59,55,60,59,53,60,50,37,35,44,39,51,39,40,33,39,44,12,7,12,10,8,8,8,9,15,11,18,24,19,23,34,20,14,20,27,22,1220
38,类别2,839,587,380,99,210,88,82,77,83,89,63,82,97,82,96,66,54,51,48,61,62,64,58,57,66,38,39,37,35,53,33,38,32,32,43,19,11,8,15,8,6,9,9,7,7,19,23,24,17,19,22,23,23,22,18,1236
42,类别2,824,612,393,90,211,82,77,83,88,89,85,81,77,81,81,57,52,53,54,64,74,70,52,71,65,43,42,46,40,34,36,34,38,43,37,6,9,11,12,12,9,11,7,7,6,21,20,22,23,18,23,22,20,18,24,1515
44,类别2,823,616,433,104,208,78,94,89,75,83,87,90,79,61,87,61,75,67,54,51,58,74,51,61,64,50,56,35,42,39,45,37,42,49,38,9,17,6,10,6,4,14,12,16,10,21,19,22,24,18,21,20,20,32,11,1588
45,类别2,841,588,406,106,197,88,72,89,74,67,95,96,84,94,82,72,57,62,45,64,58,63,49,53,65,29,44,30,43,38,54,47,39,39,43,10,10,12,12,9,9,15,11,10,8,20,22,21,17,17,19,19,19,24,19,1612
48,类别2,849,609,420,92,189,78,88,78,100,95,87,90,79,86,68,59,57,61,60,79,50,66,62,62,53,43,40,28,48,36,38,49,36,48,54,14,12,9,6,6,9,10,12,11,3,22,16,14,15,20,16,31,24,16,15,1733
49,类别2,822,594,400,108,185,69,92,78,92,73,85,78,87,88,80,54,71,55,45,69,56,53,59,57,75,42,32,38,39,40,45,34,39,49,42,6,19,11,11,8,13,6,12,11,11,27,15,12,18,16,20,22,21,17,17,1791
54,类别2,842,626,419,112,167,82,95,81,93,78,85,79,78,88,83,60,50,61,53,62,66,71,70,62,71,32,40,45,37,51,47,45,33,45,44,9,11,16,12,10,11,17,10,8,8,13,14,20,13,19,19,20,12,19,18,1960
55,类别2,847,617,403,104,205,73,85,83,84,85,95,87,87,89,79,57,61,67,62,59,59,64,55,62,71,48,46,42,41,38,39,32,45,37,35,12,8,9,11,8,14,11,7,15,9,26,24,21,21,16,24,14,20,18,21,1964
56,类别2,862,591,404,92,193,82,94,83,87,71,86,78,90,98,93,55,38,50,65,64,66,58,68,64,63,52,36,45,40,33,51,33,39,45,30,11,4,11,12,8,6,11,8,8,13,22,15,26,27,17,12,14,21,19,20,1975
57,类别2,853,613,416,106,196,71,99,74,100,78,94,88,78,80,91,67,63,73,49,60,66,50,66,63,56,34,34,53,42,32,44,44,50,47,36,12,10,12,13,12,11,11,10,8,7,20,19,26,24,20,17,21,8,26,15,1997
62,类别2,833,617,403,93,200,85,84,82,69,84,96,96,80,88,69,67,61,52,73,62,61,58,65,53,65,49,42,43,48,36,32,43,43,32,35,10,5,7,9,11,8,13,12,5,13,17,17,29,16,22,17,23,22,12,25,2261
64,类别2,824,584,380,102,208,97,61,90,84,77,79,84,84,95,73,63,55,63,62,68,69,46,49,55,54,37,28,50,48,49,29,30,31,39,39,14,8,7,7,14,11,13,11,6,11,24,23,21,17,21,24,14,24,19,21,2271
66,类别2,828,624,417,108,192,90,79,95,92,60,76,86,82,82,86,66,46,72,55,65,70,60,63,64,63,55,44,48,39,45,37,35,50,27,37,7,14,12,10,6,9,13,12,17,8,17,17,19,22,21,16,17,21,25,17,2292
67,类别2,835,575,372,101,203,98,78,87,78,78,74,84,85,87,86,66,62,56,59,60,45,66,51,51,59,39,42,38,43,27,39,31,37,36,40,7,13,15,12,13,7,7,7,8,12,26,27,13,25,20,18,24,25,14,11,2311
69,类别2,838,579,399,90,179,97,81,90,87,65,91,83,81,88,75,60,55,65,62,52,64,48,53,62,58,40,36,50,32,37,52,33,49,33,37,5,8,11,9,14,8,13,3,9,10,23,17,22,17,15,24,13,16,15,17,2325
70,类别2,844,596,398,104,214,71,81,87,84,79,95,85,89,92,81,56,69,75,55,64,55,62,49,61,50,38,42,38,41,36,40,33,42,45,43,14,13,12,5,8,14,10,6,9,13,36,17,29,20,25,18,14,17,17,21,2349
76,类别2,842,570,384,103,197,90,75,91,92,72,90,70,78,84,100,45,64,58,54,48,55,61,70,62,53,27,33,42,43,37,44,44,37,31,46,8,10,10,8,12,7,15,12,11,10,17,20,19,27,21,16,15,24,17,21,2513
77,类别2,825,593,391,97,199,72,90,72,86,99,84,84,72,94,72,67,74,63,54,54,57,61,63,48,52,36,34,38,45,33,39,40,36,43,47,6,14,16,3,5,8,14,11,8,12,24,26,15,17,19,19,20,21,15,23,2568
78,类别2,817,602,393,103,183,88,83,85,73,79,88,69,95,75,82,65,55,64,60,63,58,52,55,71,59,51,33,41,43,33,45,32,32,51,32,13,8,8,10,12,12,11,6,16,7,15,23,13,21,17,15,19,20,19,21,2604
80,类别2,832,589,393,115,182,86,76,70,77,84,81,96,89,100,73,59,49,50,62,57,75,68,49,67,53,40,37,34,42,47,35,34,43,43,38,10,17,12,14,7,10,11,10,12,12,15,18,19,26,17,21,15,16,22,13,2690
92,类别2,830,600,410,100,182,98,71,82,87,82,74,71,81,100,84,60,51,61,75,75,61,49,62,48,58,46,37,38,40,48,37,29,39,52,44,7,10,8,9,12,12,10,9,11,12,10,18,20,24,25,9,13,21,26,16,2980
98,类别2,852,603,413,89,199,80,86,92,82,94,96,63,82,86,91,64,58,54,57,59,60,55,56,64,76,41,40,39,48,41,33,44,33,45,49,9,9,8,9,9,8,13,9,10,5,21,22,9,20,18,24,17,23,24,21,3092
99,类别2,850,614,402,114,198,76,78,98,78,100,74,88,90,94,74,64,62,58,71,60,64,61,57,61,56,44,43,44,38,35,47,38,44,35,34,12,10,9,8,12,18,8,10,15,12,11,19,25,17,18,26,14,26,24,18,3107
