订单号,聚类种类,食品区,饮料区,日用品区,电器区,礼品区,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,产生时刻
4,类别4,812,587,410,105,185,79,74,91,84,81,81,73,87,81,81,53,59,64,51,52,63,65,68,55,57,37,42,30,58,43,36,33,45,42,44,7,8,16,10,10,8,13,13,12,8,15,15,21,19,21,22,12,24,20,16,157
6,类别4,804,566,395,109,197,66,93,83,84,86,81,77,80,75,79,57,59,59,54,60,60,49,51,54,63,41,39,46,26,42,41,43,33,40,44,14,4,11,9,13,10,14,6,15,13,22,20,16,22,21,25,20,23,11,17,225
10,类别4,788,590,394,110,197,83,70,90,91,74,66,83,87,63,81,57,58,54,50,60,63,64,77,60,47,46,32,36,41,28,44,42,38,47,40,13,7,10,14,9,11,12,8,11,15,18,20,16,19,22,17,20,25,21,19,388
11,类别4,801,580,428,115,228,72,85,96,73,85,65,82,65,97,81,48,56,76,57,60,59,58,67,49,50,35,45,44,44,48,36,51,36,48,41,5,13,16,14,8,16,8,14,12,9,23,33,15,16,23,23,26,25,26,18,397
12,类别4,779,568,377,83,185,77,74,93,68,77,89,83,57,83,78,67,51,49,61,59,59,62,51,57,52,40,31,41,44,37,38,33,42,40,31,9,5,9,10,11,8,6,9,10,6,20,18,11,26,25,20,12,15,21,17,425
13,类别4,801,594,386,120,214,78,76,91,64,78,83,96,90,71,74,73,53,60,59,60,53,60,61,64,51,33,37,34,47,35,35,43,40,45,37,11,10,9,14,9,11,15,17,6,18,16,20,21,26,27,24,11,30,22,17,453
14,类别4,793,587,383,126,199,75,84,79,90,86,76,72,76,76,79,65,62,59,58,52,56,48,69,60,58,33,36,42,44,50,32,34,41,35,36,11,18,11,10,8,17,13,10,17,11,23,18,13,13,26,28,21,23,20,14,476
22,类别4,805,564,391,113,182,74,58,75,77,100,90,82,82,93,74,57,58,66,55,45,56,49,47,61,70,43,34,43,47,46,40,34,38,28,38,17,11,9,7,15,13,8,9,13,11,31,12,20,14,18,18,20,14,22,13,822
23,类别4,774,568,389,104,192,77,67,86,84,88,71,73,82,77,69,48,55,52,59,52,62,57,55,54,74,42,46,31,30,35,35,39,38,44,49,7,10,11,10,14,10,10,12,12,8,21,12,25,12,15,17,24,16,23,27,897
24,类别4,783,577,413,98,208,62,72,78,83,79,83,91,81,77,77,37,64,51,57,65,80,55,53,53,62,30,45,42,53,41,45,40,44,38,35,10,11,11,5,16,8,11,9,8,9,23,29,27,18,15,21,24,17,19,15,981
